Dependency=Heating Fuel	Dependency=HVAC System Heating Type	Option=None	Option=Propane Boiler, 80% AFUE	Option=Propane Boiler, 76% AFUE	Option=Propane Boiler, 72% AFUE	Option=Propane Furnace, 96% AFUE	Option=Propane Furnace, 92% AFUE	Option=Propane Furnace, 80% AFUE	Option=Propane Furnace, 76% AFUE	Option=Propane Furnace, 60% AFUE	Option=Propane Wall/Floor Furnace, 68% AFUE	Option=Propane Wall/Floor Furnace, 60% AFUE	Option=Oil Boiler, 90% AFUE	Option=Oil Boiler, 80% AFUE	Option=Oil Boiler, 76% AFUE	Option=Oil Furnace, 95% AFUE	Option=Oil Furnace, 90% AFUE	Option=Oil Furnace, 80% AFUE	Option=Oil Furnace, 76% AFUE	Option=Oil Wall/Floor Furnace, 68% AFUE	Option=Oil Wall/Floor Furnace, 60% AFUE	resstock_probability
Electricity	Shared Heating System	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	Heat Pump, Ducted	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	Heat Pump, Mini-split	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	Central Ducted	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	Central Non-Ducted	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14741200000000002
Electricity	None	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Natural Gas	Shared Heating System	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04236012
Natural Gas	Heat Pump, Ducted	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Natural Gas	Heat Pump, Mini-split	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Natural Gas	Central Ducted	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04236012
Natural Gas	Central Non-Ducted	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043643760000000004
