Dependency=HVAC System Cooling	Dependency=HVAC System Is Shared	Dependency=HVAC System Is Heat Pump	Option=Central	Option=Room	Option=None	Option=N/A	resstock_probability
AC, SEER 10	Both Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Both Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Both Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Both Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Both Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Both Shared	No	0.0	0.0	0.0	1.0	0.0
None	Both Shared	No	1.0	0.0	0.0	0.0	0.017699081321111296
AC, SEER 10	Neither Shared	No	1.0	0.0	0.0	0.0	0.17522068687930165
AC, SEER 13	Neither Shared	No	1.0	0.0	0.0	0.0	0.12371985824994049
AC, SEER 15	Neither Shared	No	1.0	0.0	0.0	0.0	0.019370110757539062
AC, SEER 8	Neither Shared	No	1.0	0.0	0.0	0.0	0.021411017295029016
FIXME Room AC, EER 10.7, 20% Conditioned	Neither Shared	No	0.0	1.0	0.0	0.0	0.12895972165936448
FIXME Room AC, EER 8.5, 20% Conditioned	Neither Shared	No	0.0	1.0	0.0	0.0	0.0644798736480715
None	Neither Shared	No	0.0	0.0	1.0	0.0	0.20433589220936377
AC, SEER 10	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Cooling Shared	No	0.0	0.0	0.0	1.0	0.0
None	Only Cooling Shared	No	1.0	0.0	0.0	0.0	0.006039551014158203
AC, SEER 10	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.01588493823793146
AC, SEER 13	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.01092353305618725
AC, SEER 15	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.0017661318090566181
AC, SEER 8	Only Heating Shared	No	1.0	0.0	0.0	0.0	0.002052417646136656
FIXME Room AC, EER 10.7, 20% Conditioned	Only Heating Shared	No	0.0	1.0	0.0	0.0	0.014250808469266579
FIXME Room AC, EER 8.5, 20% Conditioned	Only Heating Shared	No	0.0	1.0	0.0	0.0	0.007125405024533167
None	Only Heating Shared	No	0.0	0.0	1.0	0.0	0.022115299062723946
AC, SEER 10	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Both Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Both Shared	Yes	1.0	0.0	0.0	0.0	0.0
AC, SEER 10	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Neither Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Neither Shared	Yes	1.0	0.0	0.0	0.0	0.16464556432342592
AC, SEER 10	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Cooling Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Only Cooling Shared	Yes	1.0	0.0	0.0	0.0	0.0
AC, SEER 10	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 13	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 15	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
AC, SEER 8	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 10.7, 20% Conditioned	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
FIXME Room AC, EER 8.5, 20% Conditioned	Only Heating Shared	Yes	0.0	0.0	0.0	1.0	0.0
None	Only Heating Shared	Yes	1.0	0.0	0.0	0.0	0.0
