Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
CR02	<1940	Electricity	No	Only Heating Shared	0.300977	0.022413	0.180051	0.12128399999999999	0.020699000000000002	0.118192	0.23638299999999998	0.0006482472182400001
CR02	<1940	Fuel Oil	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	<1940	Natural Gas	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.00029496746868418324
CR02	<1940	None	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	<1940	Other Fuel	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	4.012789238400001e-05
CR02	<1940	Propane	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0002951457891840002
CR02	<1940	Electricity	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Fuel Oil	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	None	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Electricity	No	Neither Shared	0.300977	0.022413	0.180051	0.12128399999999999	0.020699000000000002	0.118192	0.23638299999999998	0.005570169365468326
CR02	<1940	Fuel Oil	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	<1940	Natural Gas	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.000939444583980394
CR02	<1940	None	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	<1940	Other Fuel	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	6.339210761600002e-05
CR02	<1940	Propane	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.00088960653931368
CR02	<1940	Electricity	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009920114335716763
CR02	<1940	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7846782953753306e-05
CR02	<1940	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.748767150232041e-05
CR02	<1940	Electricity	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.989453964000002e-05
CR02	<1940	Fuel Oil	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.310038544000001e-06
CR02	<1940	None	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	No	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Electricity	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Fuel Oil	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	None	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Yes	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Electricity	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011027744308000005
CR02	<1940	Fuel Oil	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9071639293926838e-05
CR02	<1940	None	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	No	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Electricity	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Fuel Oil	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	None	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Yes	Both Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Electricity	No	Only Heating Shared	0.300977	0.022413	0.180051	0.12128399999999999	0.020699000000000002	0.118192	0.23638299999999998	0.0012964944364800002
CR02	1940s	Fuel Oil	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	1940s	Natural Gas	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0005899349373683665
CR02	1940s	None	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	1940s	Other Fuel	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	8.025578476800002e-05
CR02	1940s	Propane	No	Only Heating Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0005902915783680001
CR02	1940s	Electricity	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Fuel Oil	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	None	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1940s	Electricity	No	Neither Shared	0.300977	0.022413	0.180051	0.12128399999999999	0.020699000000000002	0.118192	0.23638299999999998	0.011140338730936656
CR02	1940s	Fuel Oil	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	1940s	Natural Gas	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.001878889167960788
CR02	1940s	None	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.0
CR02	1940s	Other Fuel	No	Neither Shared	0.23084699999999997	0.032353	0.259897	0.175069	0.029878	0.090652	0.181304	0.00012678421523200004
