Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=ASHP, SEER 10, 6.2 HSPF	Option=ASHP, SEER 13, 7.7 HSPF	Option=ASHP, SEER 15, 8.5 HSPF	resstock_probability
CR02	<1940	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.0009920114335716763
CR02	<1940	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.7846782953753306e-05
CR02	<1940	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	5.748767150232041e-05
CR02	<1940	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.005570169365468326
CR02	<1940	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.000939444583980394
CR02	<1940	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	6.339210761600002e-05
CR02	<1940	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.00088960653931368
CR02	1940s	Electricity	Yes	Neither Shared	0.0	0.179837	0.7426689999999999	0.07749400000000001	0.001984022867143353
CR02	1940s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	3.569356590750661e-05
CR02	1940s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.00011497534300464079
CR02	1940s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.011140338730936656
CR02	1940s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.001878889167960788
CR02	1940s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.00012678421523200004
CR02	1940s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0017792130786273596
CR02	1950s	Electricity	Yes	Neither Shared	0.0	0.183847	0.7003159999999999	0.115837	0.0010029316926395198
CR02	1950s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	1.885732590339901e-05
CR02	1950s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.0059938919142804815
CR02	1950s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009936165481046015
CR02	1950s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1950s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	0.00010352000000000004
CR02	1950s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0012422400000000006
CR02	1960s	Electricity	Yes	Neither Shared	0.0	0.289154	0.643875	0.066971	0.0010671191437329614
CR02	1960s	Fuel Oil	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	None	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Propane	Yes	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Electricity	No	Neither Shared	1.0	0.0	0.0	0.0	0.005834172642467039
CR02	1960s	Fuel Oil	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Natural Gas	No	Neither Shared	1.0	0.0	0.0	0.0	0.0010147012461360005
CR02	1960s	None	No	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	1960s	Other Fuel	No	Neither Shared	1.0	0.0	0.0	0.0	9.024712108800002e-05
CR02	1960s	Propane	No	Neither Shared	1.0	0.0	0.0	0.0	0.0009937920000000003
CR02	1970s	Electricity	Yes	Neither Shared	0.0	0.281641	0.659303	0.059054999999999996	0.0007019864870551262
