Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=Propane Boiler, 80% AFUE	Option=Propane Boiler, 76% AFUE	Option=Propane Boiler, 72% AFUE	Option=Propane Furnace, 96% AFUE	Option=Propane Furnace, 92% AFUE	Option=Propane Furnace, 80% AFUE	Option=Propane Furnace, 76% AFUE	Option=Propane Furnace, 60% AFUE	Option=Propane Wall/Floor Furnace, 68% AFUE	Option=Propane Wall/Floor Furnace, 60% AFUE	resstock_probability
CR02	1950s	Propane	No	Only Cooling Shared	0.0	0.075321	0.014934000000000001	0.020429	0.0	0.200571	0.40517	0.201898	0.048592	0.017624	0.01546	0.0
CR02	1960s	Propane	No	Only Cooling Shared	0.0	0.10526300000000001	0.025003	0.038113	0.0	0.20842800000000003	0.40205100000000005	0.179822	0.041321	0.0	0.0	0.0
CR02	1970s	Propane	No	Only Cooling Shared	0.0	0.031972	0.005275	0.006208	0.0	0.21771100000000002	0.42005200000000004	0.252255	0.066528	0.0	0.0	8.281591718400004e-05
CR02	1980s	Propane	No	Only Cooling Shared	0.0	0.007155	0.002614	0.004707	0.0	0.19807	0.355429	0.329873	0.10215199999999999	0.0	0.0	0.0
CR02	1990s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.102113	0.422095	0.47458	0.001212	0.0	0.0	0.0	0.0
CR02	2000s	Propane	No	Only Cooling Shared	0.0	0.0	0.0	0.0	0.129646	0.599839	0.26989	0.000624	0.0	0.0	0.0	0.0
CR02	<1940	Propane	No	Only Cooling Shared	0.0	0.13406099999999999	0.01087	0.0	0.0	0.290448	0.558988	0.0	0.0	0.003943	0.0016899999999999999	0.0
CR05	1950s	Propane	No	Only Cooling Shared	0.0	0.051753	0.010261	0.014037	0.0	0.20516199999999998	0.414444	0.206519	0.049705	0.025633999999999997	0.022486000000000003	0.0
CR05	1960s	Propane	No	Only Cooling Shared	0.0	0.08403	0.019959	0.030425	0.0	0.21694000000000002	0.41847	0.187166	0.043008	0.0	0.0	0.0
CR05	1970s	Propane	No	Only Cooling Shared	0.0	0.052242	0.008619	0.010144	0.0	0.195761	0.377702	0.226823	0.059821000000000006	0.04299	0.0259	8.281591718400004e-05
CR05	1980s	Propane	No	Only Cooling Shared	0.0	0.019947	0.007286	0.013121	0.0	0.190856	0.342484	0.317858	0.09843099999999999	0.005951	0.004065999999999999	0.0
CR05	1990s	Propane	No	Only Cooling Shared	0.0	0.139093	0.011278	0.0	0.001242	0.048962	0.705282	0.021141999999999998	0.0	0.051101	0.0219	0.0
CR05	2000s	Propane	No	Only Cooling Shared	0.0	0.130408	0.010574	0.0	0.027673000000000003	0.190084	0.629409	0.011853	0.0	0.0	0.0	0.0
CR05	<1940	Propane	No	Only Cooling Shared	0.0	0.055616	0.004509	0.0	0.0	0.268248	0.5162640000000001	0.0	0.0	0.10875399999999999	0.046609	0.0
CR03	1950s	Propane	No	Only Cooling Shared	0.0	0.23865100000000003	0.047318	0.064729	0.0	0.152098	0.307251	0.153104	0.036849	0.0	0.0	0.0
