Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Shared	Option=No	Option=Yes	Count	Weight	resstock_probability
CR02	<1940	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.00011027744308000003
CR02	<1940	Electricity	Neither Shared	0.8488290000000001	0.151171	24.0	144978.322	0.006562180799040002
CR02	<1940	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	4.989453964000002e-05
CR02	<1940	Electricity	Only Heating Shared	1.0	0.0	4.0	30758.90955	0.0006482472182400001
CR02	<1940	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Fuel Oil	Neither Shared	1.0	0.0	14.0	89823.42602	0.0
CR02	<1940	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Natural Gas	Both Shared	1.0	0.0	1.0	5381.467147	2.9071639293926838e-05
CR02	<1940	Natural Gas	Neither Shared	0.9813569999999999	0.018643	115.0	728641.0725	0.0009572913669341472
CR02	<1940	Natural Gas	Only Cooling Shared	1.0	0.0	2.0	8464.973288	2.3100385440000012e-06
CR02	<1940	Natural Gas	Only Heating Shared	1.0	0.0	8.0	77578.9245	0.00029496746868418324
CR02	<1940	None	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	None	Neither Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	None	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	None	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Neither Shared	1.0	0.0	16.0	127416.2619	6.339210761600002e-05
CR02	<1940	Other Fuel	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Other Fuel	Only Heating Shared	1.0	0.0	1.0	11025.58267	4.012789238400001e-05
CR02	<1940	Propane	Both Shared	1.0	0.0	1.0	10253.677670000001	0.0
CR02	<1940	Propane	Neither Shared	0.939301	0.060699	23.0	177741.1741	0.0009470942108160004
CR02	<1940	Propane	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	<1940	Propane	Only Heating Shared	1.0	0.0	1.0	10379.46848	0.0002951457891840002
CR02	1940s	Electricity	Both Shared	1.0	0.0	0.0	0.0	0.00022055488616000006
CR02	1940s	Electricity	Neither Shared	0.8488290000000001	0.151171	24.0	144978.322	0.013124361598080007
CR02	1940s	Electricity	Only Cooling Shared	1.0	0.0	0.0	0.0	9.978907928000003e-05
CR02	1940s	Electricity	Only Heating Shared	1.0	0.0	4.0	30758.90955	0.0012964944364800002
CR02	1940s	Fuel Oil	Both Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Fuel Oil	Neither Shared	1.0	0.0	14.0	89823.42602	0.0
CR02	1940s	Fuel Oil	Only Cooling Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Fuel Oil	Only Heating Shared	1.0	0.0	0.0	0.0	0.0
CR02	1940s	Natural Gas	Both Shared	1.0	0.0	1.0	5381.467147	5.8143278587853675e-05
